label,question
500,Bagaimana cara mengobati penyakit Graves?
500,Apa obat untuk penyakit Graves?
500,Obat apa yang dapat menyembuhkan penyakit Graves?
300,Apa gejala terkena penyakit Graves?
300,Bagaimana tanda-tanda terkena penyakit Graves?
300,Bagaimana cara tahu kita mengidap penyakit Graves?
300,Apa gejala terkena penyakit Graves?
200,Kenapa saya terkena penyakit Graves?
700,Berapa lama waktu yang dibutuhkan untuk sembuh dari penyakit Graves?
100,Apa hubungannya penyakit Graves dengan hipertiroidisme?
700,Apakah penyakit Graves bisa sembuh sendiri?
100,Apa itu penyakit Graves?
100,Apa itu Graves disease?
100,Apakah penyakit Graves dan hipertiroid itu sama?
200,Apakah penyakit Graves menyerang anak-anak?
700,Apakah saya bisa meninggal karena penyakit Graves?
700,Apakah penyakit Graves bisa sembuh?
500,Bagaimana cara menyembuhkan penyakit Graves?
800,Bagaimana supaya tidak kena penyakit Graves?
300,Kapan saya harus ke dokter kalau kena penyakit Graves?
300,Apa gejala penyakit Graves yang berbahaya?
200,Siapa yang paling mungkin terkena penyakit Graves?
200,Siapa yang paling mungkin menderita penyakit Graves?
200,Siapa yang paling rentan kena penyakit Graves?
200,Siapa yang paling beresiko kena penyakit Graves?
500,Apakah penyakit Graves bisa diobati di rumah?
700,Berapa lama supaya saya bisa sembuh dari penyakit Graves?
300,Bagaimana rasanya kalau terkena penyakit Graves?
200,Apa penyebab utama penyakit Graves?
800,Bagaimana cara mencegah penyakit Graves?
400,Apa pemeriksaan fungsi tiroid?
300,Apa yang terjadi kalau kita kena penyakit Graves?
400,Bagaimana kalau saya terkena penyakit Graves?
600,Apakah penyakit Graves bisa menyebabkan penyakit lain?
100,Apakah penyakit Graves berbahaya?
100,Dari mana asal penyakit Graves?
500,Apakah penyakit Graves harus operasi?
600,Apa akibat dari penyakit Graves?
400,Bagaimana cara mendeteksi penyakit Graves?
400,Bagaimana saya tahu kalau saya kena penyakit Graves?
600,Apa efek dari penyakit Graves?
100,Apakah penyakit Graves langka?
100,Apakah banyak orang yang menderita penyakit Graves?
500,Apa langkah yang harus diambil untuk mengatasi penyakit Graves?
500,Apa yang harus saya lakukan saat terkena penyakit Graves?
500,Apa yang harus saya perhatikan saat terkena penyakit Graves?
500,Apa saja obat yang perlu saya minum untuk penyakit Graves?
300,Bagaimana ciri orang yang terkena penyakit Graves?
600,Apa saja penyakit yang berhubungan dengan penyakit Graves?
500,Apa yang perlu saya lakukan untuk menyembuhkan Graves Disease?
600,Komplikasi apa saja yang dapat terjadi pada penyakit Graves?
600,Apa komplikasi dari penyakit Graves?
500,Apa rekomendasi obat untuk penyakit Graves?
500,Bagaimana cara dokter mengobati penyakit Graves?
300,Apa saja gejala penyakit Graves?
500,Bagaimana cara penyakit Graves ditangani?
500,Apa sih obat yang bagus untuk menyembuhkan Graves?
400,Bagaimana cara dokter mendiagnosa penyakit Graves?
400,Bagaimana diagnosis untuk penyakit Graves?
500,Apa penanganan terbaik untuk penyakit Graves?
400,Apa tes yang dilakukan untuk memeriksa sakit Graves?
400,Apa yang dilakukan dokter untuk diagnosis sakit Graves?
400,Bagaimana seseorang dikatakan menderita Graves?
400,Tes apa saja untuk mengetahui Graves?
400,Apa pemeriksaan untuk sakit Graves?
400,Tes apa yang mengkonfirmasi sakit Graves?
500,Apa pengobatan paling aman untuk penyakit Graves?
400,Bagaimana dokter dapat mengetahui penyakit Graves?
400,Bagaimana langkah mengetahui penyakit Graves?
400,Cara dokter mendiagnosa Graves?
400,Apa pemeriksaan yang perlu dilakukan untuk Graves?
400,Bagaimana prosedur memeriksa penyakit Graves?
400,Bagaimana cek saya menderita Graves?
300,Apa tanda awal yang perlu saya perhatikan?
400,Apa diagnosis awal untuk sakit Graves?
400,Apa pemeriksaan yang perlu saya lakukan?
400,Bagaimana cara memeriksa penyakit Graves?
400,Apakah penyakit Graves dapat di diagnosa?
400,Apa saja langkah pemeriksaan penyakit Graves?
400,Apa tes yang perlu dilakukan untuk penyakit Graves?
100,Apa hubungannya tiroid dengan penyakit Graves?
500,Apa makanan yang dapat menjadi penyembuh Graves?
500,Makan apa yang bisa menyembuhkan Graves?
100,Apakah Graves termasuk jenis penyakit yang berbahaya?
300,Apakah tangan tremor menjadi tanda penyakit Graves?
300,Apakah tangan tremor menjadi gejala penyakit Graves?
500,Apakah ada obat herbal untuk Graves?
500,Apakah ada obat alami untuk penyakit Graves?
500,Penyakit Graves apakah dapat diobati dengan obat alami?
500,Penyakit Graves apakah dapat diobati dengan obat herbal?
300,Apakah rambut memutih menjadi tanda dari penyakit Graves?
300,Apabila terkena Graves akan sering sakit lambung?
200,Apakah wanita lebih sering terkena Graves?
200,Apakah merokok meningkatkan risiko penyakit Graves?
600,Apakah sistem imun terganggu dengan adanya penyakit Graves?
300,Apa gejala yang paling sering terjadi pada penderita Graves?
300,Apa gejala yang paling terlihat pada penderita Graves?
400,Apa saja tes yang dilakukan untuk mendiagnosa penyakit Graves?
400,Apa tes yang menjadi penunjang diagnosa penyakit Graves?
500,Apakah terapi yodium radioaktif menjadi obat Graves yang efektif?
500,Apakah penderita penyakit Graves memerlukan operasi?
100,Apakah penyakit Graves merupakan penyakit autoimun?
800,Bagaimana cara mengurangi risiko terkena penyakit Graves?
100,Apakah penyakit Graves merupakan penyakit genetik?
600,Apakah gangguan jantung termasuk komplikasi dari penyakit Graves?
600,Apakah dapat terjadi keguguran bila saat hamil terkena penyakit Graves?
600,Apakah dapat terjadi kelahiran prematur bila saat hamil terkena penyakit Graves?
500,Apakah butuh terapi lanjutan setelah melakukan operasi tiroid?
100,Jelaskan definisi penyakit Graves!
100,Jelaskan apa itu penyakit Graves!
100,Apakah yang dimaksud dengan penyakit Graves?
100,Apakah penyakit Graves berhubungan dengan hormon tubuh?
100,Apakah penyakit Graves dengan hormon Tiroid saling berkaitan?
100,Apakah penyakit Graves disebabkan oleh autoimun pada kelenjar Tiroid?
100,Apakah penyakit Graves disebabkan karena gangguan pada kelenjar Tiorid?
100,Apakah penyakit Graves menyebabkan kadar hormon Tiroid dalam tubuh meningkat drastis?
100,Apakah penyakit Graves merupakan salah satu penyakit metabolisme tubuh?
500,Apakah penderita penyakit Graves harus minum obat seumur hidup?
500,Obat apa saja yang perlu dikonsumsi oleh seseorang yang menderita penyakit Graves?
700,Apakah penyakit Graves bisa sembuh total?
200,Apa sajakah faktor yang menyebabkan seseorang mengalami penyakit Graves?
100,Apakah penyakit Graves sama dengan penyakit hipertioid?
100,Apakah penyakit Graves sama dengan penyakit hipertiroidisme?
400,Bagaimana cara dokter mendiagnosis penyakit Graves pada seseorang?
400,Apa sajakah jenis pemeriksaan yang harus dilalui untuk mendiagnosis penyakit Graves?
400,Apakah seseorang perlu pemeriksaan kadar tiroid untuk mendiagnosis penyakit Graves?
400,Apa saja pemeriksaan laboratorium yang diperlukan untuk mendiagnosis penyakit Graves?
500,"Dok, saya mau nanya saya sakit penyakit Graves dan masih mengonsumsi obat setiap harinya, apakah harus dikonsumsi setiap hari?"
300,Apakah Graves ophthalmopathy merupakan salah satu gejala penyakit Graves?
300,Apakah keringat yang berlebihan merupakan salah satu gejala penyakit Graves?
300,Apakah tidak tahan panas merupakan salah satu gejala penyakit Graves?
300,Apakah jantung berdebar merupakan salah satu gejala penyakit Graves?
300,Apakah berat badan turun merupakan salah satu gejala penyakit Graves?
300,"Dok, saya mau nanya. Waktu itu saya ada keluhan ngga tahan panas, mudah capek, sama sering berdebar. Kata dokter saya kena penyakit Graves. Apakah benar, dok?"
200,"Dok, ibu saya katanya pernah dibilang sakit Graves. Apakah saya berisiko untuk mengalami yang sama, dok?"
300,Jantung berdebar apakah salah satu gejala dari penyakit Graves?
400,"Dok, gimana sih caranya diagnosis penyakit Graves?"
400,"Dok, katanya kalau periksa penyakit Graves itu pakai pemeriksaan kadar hormon Tiroid. Apakah itu benar, dok?"
400,"Dok, apa saja jenis pemeriksaan buat penyakit Graves ya, dok?"
400,"Dok, apakah pemeriksaan buat penyakit Graves harus lewat bagian radiologi ya, dok?"
400,"Dari hasil lab kapan orang bisa dibilang penyakit Graves ya, dok?"
400,"Apakah orang yang diduga sakit Graves perlu diperiksa kadar hormon Tiroid dan TSH nya ya, dok?"
500,"Apa saja obat buat penyakit Tiroid ya, dok?"
600,Apa itu Graves ophthalmopathy?
600,"Apa saja komplikasi dari penyakit Graves ya, dok?"
600,Apakah penyakit Graves bisa menyebabkan komplikasi ke mata?
600,Apakah penyakit Graves bisa menyebabkan komplikasi ke jantung?
500,Apakah obat-obatan penyakit Graves aman untuk ibu-ibu hamil?
500,"Apakah ibu-ibu hamil tetap perlu minum obat Graves, dok?"
400,"Apakah pemeriksaan penyakit Graves perlu dilakukan biopsi, dok?"
400,Pemeriksaan biopsi jarum halus untuk penyakit Graves?
100,Apakah penyakit Graves merupakan salah satu penyakit autoimun?
100,Apakah penyakit Graves merupakan salah satu gangguan sistem kekebalan tubuh?
100,Apakah penyakit Graves perlu periksa ke dokter?
500,"Dok, saya sedang hamil. Apakah obat-obatan yang dikasih aman untuk ibu-ibu hamil?"
500,Apakah obat-obatan penyakit Graves aman untuk ibu-ibu yang sedang menyusui?
500,"Saya sedang menyusui anak saya yang baru lahir. Apakah obat-obatan yang dokter berikan aman, dok?"
500,Apakah setiap pasien yang menderita penyakit Graves harus dilakukan pembedahan?
500,"Dok, bener ngga ya kalau orang yang sakit Graves harus minum obat seumur hidup?"
500,"Dok, saya dengar kalau orang yang sakit Graves harus minum obat lama. Apakah benar itu, dok?"
600,Apa saja komplikasi yang paling umum di penyakit Graves?
300,Bagaimana ciri orang yang memiliki gejala penyakit Graves?
300,"Dok, saya sering gampang ngantuk sama ngga tahan panas. Apakah itu salah satu gejala penyakit Graves?"
300,"Selamat pagi, dokter. Saya punya keluhan. Berat badan saya susah naik. Apakah itu salah satu gejala penyakit Graves?"
