label,question
5,Bagaimana cara mengobati penyakit Grave's?
5,Apa obat untuk penyakit Grave's?
5,Obat apa yang dapat menyembuhkan penyakit Grave's?
3,Apa gejala terkena penyakit Grave's?
3,Bagaimana tanda-tanda terkena penyakit Grave's?
3,Bagaimana cara tahu kita mengidap penyakit Grave's?
3,Apa gejala terkena penyakit Grave's?
2,Umur berapa saja yang berisiko terkena Hipertiroid?
3,Apa tanda-tanda Hipertiroid?
2,Apa yang menjadi faktor hyperthyroid?
3,Apa aja gejala hipertiroid?
2,Kenapa saya terkena penyakit Grave's?
7,Berapa lama waktu yang dibutuhkan untuk sembuh dari penyakit Grave's?
1,Apa hubungannya penyakit Grave's dengan hipertiroidisme?
7,Apakah penyakit Grave's bisa sembuh sendiri?
1,Apa itu penyakit Grave's?
1,Apa itu hipertiroid?
1,Apa itu Grave's disease?
1,Apakah penyakit Grave's dan hipertiroid itu sama?
2,Apakah penyakit Grave's menyerang anak-anak?
2,Apakah saya bisa meninggal karena penyakit Grave?
2,Apakah penyakit Grave's bisa sembuh?
5,Bagaimana cara menyembuhkan penyakit Grave's?
7,Bagaimana supaya tidak kena penyakit Grave's?
4,Kapan saya harus ke dokter kalau kena penyakit Grave's?
3,Apa gejala penyakit Grave's yang berbahaya?
2,Siapa yang paling mungkin terkena penyakit Grave's?
2,Siapa yang paling mungkin menderita penyakit Grave's?
2,Siapa yang paling rentan kena penyakit Grave's?
2,Siapa yang paling beresiko kena penyakit Grave's?
5,Apakah orang yang sakit hipertiroid harus dirawat di rumah sakit?
5,Apakah penyakit Grave bisa diobati di rumah?
5,Berapa lama supaya saya bisa sembuh dari penyakit Grave's?
3,Bagaimana rasanya kalau kena hipertiroid?
3,Bagaimana rasanya kalau terkena penyakit Grave's?
7,Apa penyebab utama penyakit Grave's?
7,Bagaimana cara mencegah penyakit Grave's?
7,Apa itu tiroid?
7,Apa fungsi tiroid?
3,Apa yang terjadi kalau kita kena penyakit Grave's?
4,Bagaimana kalau saya terkena penyakit Grave?
6,Apakah penyakit Grave bisa menyebabkan penyakit lain?
6,Apakah penyakit Grave berbahaya?
7,Dari mana asal penyakit Grave?
5,Apakah penyakit Grave harus operasi?
6,Apa akibat dari penyakit Grave?
4,Bagaimana cara mendeteksi penyakit Grave?
4,Bagaimana saya tahu kalau saya kena penyakit Grave?
6,Apa efek dari penyakit Grave?
2,Apakah penyakit Grave langka?
2,Apakah banyak orang yang menderita penyakit Grave?
5,Apa langkah yang harus diambil untuk mengatasi penyakit Grave's?
5,Apa yang harus saya lakukan saat terkena penyakit Grave's?
6,Apa yang harus saya perhatikan saat terkena penyakit Grave's?
5,Apa saja obat yang perlu saya minum untuk penyakit Grave's?
3,Bagaimana ciri orang yang terkena penyakit Grave's?
6,Apa saja penyakit yang berhubungan dengan penyakit Graves?
